Sequence Number n,EEG (V),,,
6,2.31E-06,,,
7,1.54E-06,,,
8,7.71E-07,,,
9,9.26E-07,,,
10,6.94E-07,,,
11,1.08E-06,,,
12,1.08E-06,,,
13,8.48E-07,,,
14,1.23E-06,,,
15,1.16E-06,,,
0,1.16E-06,,,
1,1.62E-06,,,
2,1.39E-06,,,
3,1.70E-06,,,
4,2.39E-06,,,
5,1.93E-06,,,
6,1.31E-06,,,
7,6.94E-07,,,
8,1.54E-07,,,
9,6.17E-07,,,
10,6.17E-07,,,
11,5.40E-07,,,
12,2.31E-07,,,
13,6.17E-07,,,
14,3.86E-07,,,
15,3.86E-07,,,
0,-2.31E-07,,,
1,4.63E-07,,,
2,3.09E-07,,,
3,5.40E-07,,,
4,1.16E-06,,,
5,1.62E-06,,,
6,1.16E-06,,,
7,6.17E-07,,,
8,6.17E-07,,,
9,3.09E-07,,,
10,0,,,
11,-7.71E-08,,,
12,-9.26E-07,,,
13,-2.31E-07,,,
14,2.31E-07,,,
15,-1.54E-07,,,
0,-5.40E-07,,,
1,0,,,
2,-3.86E-07,,,
3,-6.17E-07,,,
4,-7.71E-07,,,
5,7.71E-08,,,
6,1.54E-07,,,
7,-2.31E-07,,,
8,-2.31E-07,,,
9,2.31E-07,,,
10,-7.71E-08,,,
11,-5.40E-07,,,
12,-4.63E-07,,,
13,-3.09E-07,,,
14,-4.63E-07,,,
15,-8.48E-07,,,
0,-1.31E-06,,,
1,-6.94E-07,,,
2,-3.86E-07,,,
3,-1.54E-07,,,
4,6.17E-07,,,
5,2.31E-07,,,
6,-1.54E-07,,,
7,-5.40E-07,,,
8,-1.00E-06,,,
9,0,,,
10,7.71E-08,,,
11,-4.63E-07,,,
12,-5.40E-07,,,
13,1.54E-07,,,
14,-2.31E-07,,,
15,-5.40E-07,,,
0,-7.71E-08,,,
1,0,,,
2,-7.71E-08,,,
3,2.31E-07,,,
4,-7.71E-08,,,
5,2.31E-07,,,
6,2.31E-07,,,
7,-2.31E-07,,,
8,-5.40E-07,,,
9,-6.17E-07,,,
10,-1.00E-06,,,
11,-1.08E-06,,,
12,-1.39E-06,,,
13,-3.86E-07,,,
14,-5.40E-07,,,
15,-1.08E-06,,,
0,-1.08E-06,,,
1,-6.17E-07,,,
2,-6.17E-07,,,
3,-3.09E-07,,,
4,-3.86E-07,,,
5,-3.09E-07,,,
6,-1.54E-07,,,
7,-5.40E-07,,,
8,-1.39E-06,,,
9,-1.08E-06,,,
10,-8.48E-07,,,
11,-1.23E-06,,,
12,-1.62E-06,,,
13,-1.31E-06,,,
14,-1.54E-06,,,
15,-1.47E-06,,,
0,-1.31E-06,,,
1,-1.00E-06,,,
2,-3.09E-07,,,
3,4.63E-07,,,
4,1.23E-06,,,
5,1.85E-06,,,
6,1.62E-06,,,
7,1.16E-06,,,
8,1.16E-06,,,
9,5.40E-07,,,
10,-7.71E-08,,,
11,-7.71E-07,,,
12,-1.54E-06,,,
13,-1.16E-06,,,
