Sequence Number,Digital 1,Digital 2,Digital 3,Digital 4,Analog 1,Analog 2,Analog 3,Analog 4,Analog 5,Analog 6,EEG (V)
9.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,522.0,0.0,0.0,7.713025345842707e-07
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,3.8565126729213537e-07
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,7.713025345842706e-08
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,509.0,0.0,0.0,-2.313907603752812e-07
13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,518.0,0.0,0.0,4.627815207505624e-07
14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,8.484327880426977e-07
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,518.0,0.0,0.0,4.627815207505624e-07
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,518.0,0.0,0.0,4.627815207505624e-07
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,528.0,0.0,0.0,1.234084055334833e-06
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,1.156953801876406e-06
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,1.156953801876406e-06
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,0.0,1.0798235484179789e-06
5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,534.0,0.0,0.0,1.6968655760853954e-06
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,1.7739958295438226e-06
7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,1.5426050691685415e-06
8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,528.0,0.0,0.0,1.234084055334833e-06
9.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,535.0,0.0,0.0,1.7739958295438226e-06
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,1.5426050691685415e-06
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,1.3883445622516874e-06
12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0.0,1.928256336460677e-06
13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,531.0,0.0,0.0,1.4654748157101143e-06
14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,528.0,0.0,0.0,1.234084055334833e-06
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,524.0,0.0,0.0,9.255630415011248e-07
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,3.8565126729213537e-07
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,524.0,0.0,0.0,9.255630415011248e-07
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,1.5426050691685415e-06
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,541.0,0.0,0.0,2.2367773502943847e-06
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,535.0,0.0,0.0,1.7739958295438226e-06
5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,546.0,0.0,0.0,2.6224286175865204e-06
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,2.5452983641280934e-06
