State,Target Index,X Position,Y Position,Time
2,0,270.0,400.0,10.48754072189331
2,0,270.0,400.0,10.48754072189331
2,0,270.0,400.0,10.48754072189331
2,0,270.0,400.0,10.501313209533691
2,0,270.0,400.0,10.501313209533691
2,0,270.0,400.0,10.501313209533691
2,0,270.0,400.0,10.515404224395752
2,0,270.0,400.0,10.515404224395752
2,0,270.0,400.0,10.515404224395752
2,0,270.0,400.0,10.529179096221924
2,0,270.0,400.0,10.529179096221924
2,0,270.0,400.0,10.529179096221924
2,0,270.0,400.0,10.543989658355713
2,0,270.0,400.0,10.543989658355713
2,0,270.0,400.0,10.543989658355713
2,0,270.0,400.0,10.558279752731323
2,0,270.0,400.0,10.558279752731323
2,0,270.0,400.0,10.558279752731323
2,0,270.0,400.0,10.574276208877563
2,0,270.0,400.0,10.574276208877563
2,0,270.0,400.0,10.574276208877563
2,2,810.0,400.0,10.588655233383179
2,2,810.0,400.0,10.588655233383179
2,2,810.0,400.0,10.588655233383179
2,2,810.0,400.0,10.601809740066528
2,2,810.0,400.0,10.601809740066528
2,2,810.0,400.0,10.601809740066528
2,2,810.0,400.0,10.61624002456665
2,2,810.0,400.0,10.61624002456665
2,2,810.0,400.0,10.61624002456665
2,2,810.0,400.0,10.630726099014282
2,2,810.0,400.0,10.630726099014282
2,2,810.0,400.0,10.630726099014282
2,2,810.0,400.0,10.64575982093811
2,2,810.0,400.0,10.64575982093811
2,2,810.0,400.0,10.64575982093811
2,2,810.0,400.0,10.661317586898804
2,2,810.0,400.0,10.661317586898804
2,2,810.0,400.0,10.661317586898804
2,2,810.0,400.0,10.675985097885132
2,2,810.0,400.0,10.675985097885132
2,2,810.0,400.0,10.675985097885132
2,2,810.0,400.0,10.690587043762207
2,2,810.0,400.0,10.690587043762207
2,2,810.0,400.0,10.690587043762207
2,2,810.0,400.0,10.704264163970947
2,2,810.0,400.0,10.704264163970947
2,2,810.0,400.0,10.704264163970947
2,2,810.0,400.0,10.718417882919312
2,2,810.0,400.0,10.718417882919312
2,2,810.0,400.0,10.718417882919312
2,2,810.0,400.0,10.73340106010437
2,2,810.0,400.0,10.73340106010437
2,2,810.0,400.0,10.73340106010437
2,2,810.0,400.0,10.74610686302185
2,2,810.0,400.0,10.74610686302185
2,2,810.0,400.0,10.74610686302185
2,2,810.0,400.0,10.760487079620361
2,2,810.0,400.0,10.760487079620361
2,2,810.0,400.0,10.760487079620361
2,2,810.0,400.0,10.775747060775757
2,2,810.0,400.0,10.775747060775757
2,2,810.0,400.0,10.775747060775757
2,1,540.0,400.0,10.790709972381592
2,1,540.0,400.0,10.790709972381592
2,1,540.0,400.0,10.79161548614502
2,1,540.0,400.0,10.805219173431396
2,1,540.0,400.0,10.805219173431396
2,1,540.0,400.0,10.805219173431396
2,1,540.0,400.0,10.819828033447266
2,1,540.0,400.0,10.819828033447266
2,1,540.0,400.0,10.819828033447266
2,1,540.0,400.0,10.834551095962524
2,1,540.0,400.0,10.834551095962524
2,1,540.0,400.0,10.834551095962524
2,1,540.0,400.0,10.849562883377075
2,1,540.0,400.0,10.849562883377075
2,1,540.0,400.0,10.849562883377075
2,1,540.0,400.0,10.86430025100708
2,1,540.0,400.0,10.86430025100708
